algorithm,preprocessing,k,silhouette,davies_bouldin,calinski_harabasz,eps
KMeans,StandardScaler+PCA,2,0.19285700520858765,1.9336827639770993,737.3696067207001,
KMeans,StandardScaler+PCA,3,0.16368745081065894,2.1313083557188364,501.73122572423443,
KMeans,StandardScaler+PCA,4,0.11937491811718995,2.5521109279232315,420.04491324711006,
KMeans,StandardScaler+PCA,5,0.11522344788093243,2.3517926289781137,357.62346485449694,
KMeans,StandardScaler+PCA,6,0.10254087085328908,2.4259242349580945,316.4911653380817,
KMeans,StandardScaler+PCA,7,0.10282916308052314,2.2746843996606345,285.8285557715535,
KMeans,StandardScaler+PCA,8,0.10134420915953204,2.3220285633957567,262.3892085439238,
GMM,StandardScaler+PCA,2,0.17139242164377375,2.031595088727813,613.1218095532353,
GMM,StandardScaler+PCA,3,0.09072217116656768,2.526464357497577,321.14478641186,
GMM,StandardScaler+PCA,4,0.06917579299720764,3.103638594140758,308.8794166668462,
GMM,StandardScaler+PCA,5,0.07804224154203009,2.8258181763277093,304.50990063888,
GMM,StandardScaler+PCA,6,0.06368036424839671,3.1351488866067307,245.16697899200227,
GMM,StandardScaler+PCA,7,0.08038852529846435,3.056722312414803,240.18162174718088,
GMM,StandardScaler+PCA,8,0.0683816400582209,3.2818493529437403,191.87427529410698,
Agglomerative,StandardScaler+PCA,2,0.18111814212859598,2.0030558249295995,677.4939767631832,
Agglomerative,StandardScaler+PCA,3,0.11333742406778019,2.753456925977773,433.21291599273405,
Agglomerative,StandardScaler+PCA,4,0.08825304424114186,2.8524583017785146,355.39602054365645,
Agglomerative,StandardScaler+PCA,5,0.09081149440589938,2.6097895798101445,307.2049239555595,
Agglomerative,StandardScaler+PCA,6,0.08768547164664794,2.5325833315768826,271.7629550875564,
Agglomerative,StandardScaler+PCA,7,0.08675071352267344,2.4855983309268446,245.29022368075803,
Agglomerative,StandardScaler+PCA,8,0.08250458591538902,2.546739099154987,227.23689993252265,
Spectral,StandardScaler+PCA,2,0.11582898356737699,2.1191053279090393,346.7590103165716,
Spectral,StandardScaler+PCA,3,0.1544170757629902,2.1108876305764785,474.94037128036524,
Spectral,StandardScaler+PCA,4,0.07758430763827195,2.04796197692329,334.6423565865311,
Spectral,StandardScaler+PCA,5,0.06589403368089596,1.9612611568761533,278.35197411005345,
Spectral,StandardScaler+PCA,6,0.06759000023740087,1.9359874776432182,241.97286751088006,
Spectral,StandardScaler+PCA,7,0.058103875353363414,1.8972998521763007,207.0294295814248,
Spectral,StandardScaler+PCA,8,0.07729797470914632,2.1740193946668294,217.71107986548756,
DBSCAN,StandardScaler+PCA,,0.907321322219732,0.11859658527428953,432.84507277598027,1.0
DBSCAN,StandardScaler+PCA,,0.7637537068772909,0.3104643292380767,125.81012062148997,1.5
